# Title: HaGeZi's DynDNS Blocklist
# Description: Blocks dynamic DNS services to protect against malicious use in phishing campaigns and others.
# Homepage: https://github.com/hagezi/dns-blocklists
# Issues: https://github.com/hagezi/dns-blocklists/issues
# Expires: Updated regularly
# Last modified: 07 Nov 2022 00:49 UTC
# Version: 2022.1107.0049.39
# Syntax: Hosts
# Domains: 768
#
0.0.0.0 0x.no
0.0.0.0 120v.ac
0.0.0.0 1337.cx
0.0.0.0 16-b.it
0.0.0.0 1cooldns.com
0.0.0.0 1dumb.com
0.0.0.0 24-7.ro
0.0.0.0 25u.com
0.0.0.0 2mydns.net
0.0.0.0 2waky.com
0.0.0.0 3-a.net
0.0.0.0 32-b.it
0.0.0.0 3322.org
0.0.0.0 3d-game.com
0.0.0.0 3dxtras.com
0.0.0.0 3utilities.com
0.0.0.0 404.mn
0.0.0.0 4cloud.click
0.0.0.0 4dq.com
0.0.0.0 4irc.com
0.0.0.0 4mydomain.com
0.0.0.0 4nmn.com
0.0.0.0 4pu.com
0.0.0.0 64-b.it
0.0.0.0 6600.org
0.0.0.0 688.org
0.0.0.0 7766.org
0.0.0.0 8800.org
0.0.0.0 9966.org
0.0.0.0 abuser.eu
0.0.0.0 access.ly
0.0.0.0 accesscam.org
0.0.0.0 acmetoy.com
0.0.0.0 afraid.org
0.0.0.0 airlinemeals.net
0.0.0.0 almostmy.com
0.0.0.0 americanunfinished.com
0.0.0.0 as19557.net
0.0.0.0 at-band-camp.net
0.0.0.0 ath.cx
0.0.0.0 authorizeddns.net
0.0.0.0 authorizeddns.org
0.0.0.0 authorizeddns.us
0.0.0.0 autoipset.com
0.0.0.0 awiki.org
0.0.0.0 ax.lt
0.0.0.0 b0ne.com
0.0.0.0 b0tnet.com
0.0.0.0 bad.mn
0.0.0.0 barrel-of-knowledge.info
0.0.0.0 barrell-of-knowledge.info
0.0.0.0 bbsindex.com
0.0.0.0 better-than.tv
0.0.0.0 bigmoney.biz
0.0.0.0 blogdns.com
0.0.0.0 blogdns.net
0.0.0.0 blogdns.org
0.0.0.0 blogsite.org
0.0.0.0 blogsyte.com
0.0.0.0 boldlygoingnowhere.org
0.0.0.0 bot.nu
0.0.0.0 bounceme.net
0.0.0.0 brasilia.me
0.0.0.0 broke-it.net
0.0.0.0 bumbleshrimp.com
0.0.0.0 buyshouses.net
0.0.0.0 byte4byte.com
0.0.0.0 cable-modem.org
0.0.0.0 camdvr.org
0.0.0.0 casacam.net
0.0.0.0 cechire.com
0.0.0.0 changeip.biz
0.0.0.0 changeip.co
0.0.0.0 changeip.name
0.0.0.0 changeip.net
0.0.0.0 changeip.org
0.0.0.0 changeip.us
0.0.0.0 chatnook.com
0.0.0.0 chickenkiller.com
0.0.0.0 ciscofreak.com
0.0.0.0 cleansite.biz
0.0.0.0 cleansite.info
0.0.0.0 cleansite.us
0.0.0.0 cloudwatch.net
0.0.0.0 dynamicdns.co.uk
0.0.0.0 nav.co.id
0.0.0.0 no-ip.co.uk
0.0.0.0 codns.com
0.0.0.0 collegefan.org
0.0.0.0 fedea.com.ar
0.0.0.0 img.com.ar
0.0.0.0 kalbas.com.vn
0.0.0.0 compress.to
0.0.0.0 couchpotatofries.org
0.0.0.0 crabdance.com
0.0.0.0 csproject.org
0.0.0.0 d-n-s.name
0.0.0.0 damnserver.com
0.0.0.0 darktech.org
0.0.0.0 dd-dns.de
0.0.0.0 ddns.info
0.0.0.0 ddns.me
0.0.0.0 ddns.mobi
0.0.0.0 ddns.ms
0.0.0.0 ddns.name
0.0.0.0 ddns.net
0.0.0.0 ddns.us
0.0.0.0 ddnsfree.com
0.0.0.0 ddnsgeek.com
0.0.0.0 ddnsguru.com
0.0.0.0 ddnsking.com
0.0.0.0 deaftone.com
0.0.0.0 dedyn.io
